"category"	"over_represented_pvalue"	"under_represented_pvalue"	"numDEInCat"	"numInCat"	"term"	"ontology"
"GO:0008201"	1.24897287315165e-11	1	39	100	"heparin binding"	"MF"
"GO:0044283"	1.74746501351686e-11	1	94	379	"small molecule biosynthetic process"	"BP"
"GO:0009611"	2.00988897925397e-11	1	88	345	"response to wounding"	"BP"
"GO:0072359"	2.35963150401861e-11	1	164	793	"circulatory system development"	"BP"
"GO:0006935"	3.25600899869824e-11	1	87	345	"chemotaxis"	"BP"
"GO:1901681"	3.72771597628927e-11	1	53	168	"sulfur compound binding"	"MF"
"00591"	4.34969418548162e-11	1	19	29	"Linoleic acid metabolism"	"KEGG"
"GO:0042330"	4.47559696162023e-11	1	87	347	"taxis"	"BP"
"GO:0008202"	5.86288802217625e-11	1	63	219	"steroid metabolic process"	"BP"
"GO:0070887"	6.29898545455317e-11	1	307	1763	"cellular response to chemical stimulus"	"BP"
"GO:0038023"	8.68103085638389e-11	1	110	477	"signaling receptor activity"	"MF"
"GO:0019373"	1.20770627015254e-10	0.999999999992202	18	27	"epoxygenase P450 pathway"	"BP"
"GO:0032501"	1.22698902112608e-10	1	655	4313	"multicellular organismal process"	"BP"
"GO:0009888"	1.34304043002482e-10	1	228	1226	"tissue development"	"BP"
"GO:0050878"	1.82149477258405e-10	1	67	244	"regulation of body fluid levels"	"BP"
"GO:0030335"	2.35361560769619e-10	1	88	362	"positive regulation of cell migration"	"BP"
"GO:0044707"	2.50656546440132e-10	1	621	4069	"single-multicellular organism process"	"BP"
"GO:0045597"	3.21937193339683e-10	1	150	734	"positive regulation of cell differentiation"	"BP"
"GO:2000026"	3.2486098588298e-10	1	244	1349	"regulation of multicellular organismal development"	"BP"
"GO:2000147"	4.07360202271974e-10	1	89	372	"positive regulation of cell motility"	"BP"
"GO:0030414"	4.29309127660707e-10	0.99999999991241	40	117	"peptidase inhibitor activity"	"MF"
"GO:0004866"	4.45665666663978e-10	0.999999999910685	39	112	"endopeptidase inhibitor activity"	"MF"
"GO:0033559"	5.71937118902499e-10	0.999999999907903	30	72	"unsaturated fatty acid metabolic process"	"BP"
"GO:0051272"	6.52779933033826e-10	1	90	381	"positive regulation of cellular component movement"	"BP"
"GO:0007167"	7.1828879452813e-10	1	136	650	"enzyme linked receptor protein signaling pathway"	"BP"
"GO:0040017"	7.67942430466138e-10	1	92	394	"positive regulation of locomotion"	"BP"
"GO:0050793"	8.20876840631659e-10	1	302	1762	"regulation of developmental process"	"BP"
"GO:0003008"	8.82019092137553e-10	1	169	868	"system process"	"BP"
"GO:0006928"	9.55133602536523e-10	1	230	1273	"movement of cell or subcellular component"	"BP"
"GO:0005518"	1.05543643354193e-09	0.999999999847397	24	50	"collagen binding"	"MF"
"GO:0006690"	1.20090200107663e-09	0.999999999768902	30	74	"icosanoid metabolic process"	"BP"
"GO:1901568"	1.20090200107663e-09	0.999999999768902	30	74	"fatty acid derivative metabolic process"	"BP"
"GO:0019838"	1.35657147107969e-09	0.999999999651651	41	122	"growth factor binding"	"MF"
"GO:0020037"	1.35921964073586e-09	0.999999999693344	35	96	"heme binding"	"MF"
"GO:0008391"	1.3615148315932e-09	0.999999999864111	19	33	"arachidonic acid monooxygenase activity"	"MF"
"GO:0008392"	1.45462022061275e-09	0.999999999868869	18	30	"arachidonic acid epoxygenase activity"	"MF"
"GO:0048856"	1.54216971959659e-09	1	567	3700	"anatomical structure development"	"BP"
"GO:0006820"	1.78537061030586e-09	1	80	328	"anion transport"	"BP"
"GO:0010562"	1.8354496711228e-09	1	154	782	"positive regulation of phosphorus metabolic process"	"BP"
"GO:0045937"	1.8354496711228e-09	1	154	782	"positive regulation of phosphate metabolic process"	"BP"
"GO:0061135"	1.90325208712771e-09	0.999999999521017	39	117	"endopeptidase regulator activity"	"MF"
"GO:0046906"	2.30127356417316e-09	0.999999999436828	36	102	"tetrapyrrole binding"	"MF"
"GO:0019369"	2.51485539322527e-09	0.999999999659712	22	44	"arachidonic acid metabolic process"	"BP"
"GO:0008395"	2.53926846002489e-09	0.999999999810798	16	25	"steroid hydroxylase activity"	"MF"
"GO:0045765"	2.68671435416561e-09	0.999999999105579	54	189	"regulation of angiogenesis"	"BP"
"GO:0022603"	4.05387281604117e-09	1	146	734	"regulation of anatomical structure morphogenesis"	"BP"
"GO:0007166"	4.30178942281059e-09	1	282	1648	"cell surface receptor signaling pathway"	"BP"
"GO:0010876"	4.93587580389651e-09	1	66	260	"lipid localization"	"BP"
"GO:0032502"	5.14076301558001e-09	1	602	3995	"developmental process"	"BP"
"GO:0061134"	5.33672897489563e-09	0.999999998402398	44	146	"peptidase regulator activity"	"MF"
"GO:0008610"	5.35144250736716e-09	1	94	422	"lipid biosynthetic process"	"BP"
"GO:0030199"	6.24983080081794e-09	0.99999999941017	17	29	"collagen fibril organization"	"BP"
"GO:0032879"	6.44783009542586e-09	1	319	1924	"regulation of localization"	"BP"
"GO:0048731"	7.22449975820183e-09	1	471	3018	"system development"	"BP"
"GO:0016053"	7.27667373403448e-09	1	58	218	"organic acid biosynthetic process"	"BP"
"GO:0046394"	7.27667373403448e-09	1	58	218	"carboxylic acid biosynthetic process"	"BP"
"GO:0030155"	7.35593584016002e-09	1	110	518	"regulation of cell adhesion"	"BP"
"GO:0015711"	7.92428508000139e-09	1	65	254	"organic anion transport"	"BP"
"GO:0004867"	1.00347257421699e-08	0.999999997996299	27	68	"serine-type endopeptidase inhibitor activity"	"MF"
"GO:0044767"	1.01700682412807e-08	1	594	3952	"single-organism developmental process"	"BP"
"GO:0071310"	1.14465049746039e-08	1	244	1404	"cellular response to organic substance"	"BP"
"GO:1901564"	1.34580685172316e-08	1	251	1505	"organonitrogen compound metabolic process"	"BP"
"GO:1901342"	1.39976559746389e-08	1	56	210	"regulation of vasculature development"	"BP"
"GO:0016712"	1.46946493456085e-08	0.999999998474737	17	30	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"	"MF"
"GO:0043168"	1.57786127891637e-08	1	352	2161	"anion binding"	"MF"
"GO:0009719"	1.69511400373638e-08	1	179	966	"response to endogenous stimulus"	"BP"
"GO:0048513"	1.91796994680388e-08	1	352	2174	"animal organ development"	"BP"
"GO:0042327"	1.94115238912779e-08	1	138	705	"positive regulation of phosphorylation"	"BP"
"GO:0031589"	2.09987292554628e-08	1	63	248	"cell-substrate adhesion"	"BP"
"GO:0048584"	2.51251018827758e-08	1	245	1431	"positive regulation of response to stimulus"	"BP"
"GO:0010466"	2.56222124230429e-08	0.999999991841936	43	145	"negative regulation of peptidase activity"	"BP"
"GO:1901615"	3.03829228771802e-08	1	74	316	"organic hydroxy compound metabolic process"	"BP"
"GO:0007275"	3.06291845748652e-08	1	517	3396	"multicellular organism development"	"BP"
"00590"	3.09660587745955e-08	0.999999993884888	25	62	"Arachidonic acid metabolism"	"KEGG"
"GO:0001934"	3.24095208089403e-08	1	131	666	"positive regulation of protein phosphorylation"	"BP"
"GO:0004871"	3.33513423224459e-08	1	140	718	"signal transducer activity"	"MF"
"GO:0006639"	3.57316551304902e-08	0.999999990128489	35	107	"acylglycerol metabolic process"	"BP"
"GO:0045834"	3.6588736717227e-08	0.999999988984203	39	126	"positive regulation of lipid metabolic process"	"BP"
"GO:0007599"	3.73684110227324e-08	0.999999987549303	45	155	"hemostasis"	"BP"
"GO:0023051"	5.00877766707081e-08	1	346	2152	"regulation of signaling"	"BP"
"GO:0010646"	5.40332913077947e-08	1	343	2132	"regulation of cell communication"	"BP"
"GO:0006641"	5.99035089413007e-08	0.99999998467577	31	90	"triglyceride metabolic process"	"BP"
"GO:0006638"	6.00443493404675e-08	0.999999982962685	35	109	"neutral lipid metabolic process"	"BP"
"GO:0060326"	6.79635075195178e-08	0.99999997508945	50	188	"cell chemotaxis"	"BP"
"GO:0007596"	7.11553622623784e-08	0.999999975963819	44	153	"blood coagulation"	"BP"
"GO:0005201"	7.26137989506624e-08	0.999999992855524	15	26	"extracellular matrix structural constituent"	"MF"
"GO:0050649"	7.27531521259291e-08	1	8	8	"testosterone 6-beta-hydroxylase activity"	"MF"
"GO:0007154"	8.42098101514253e-08	1	538	3577	"cell communication"	"BP"
"GO:0101020"	8.47182512619609e-08	0.999999998772222	9	10	"estrogen 16-alpha-hydroxylase activity"	"MF"
"GO:0045595"	8.81786627052578e-08	1	216	1243	"regulation of cell differentiation"	"BP"
"GO:0010647"	8.93735646997748e-08	1	202	1154	"positive regulation of cell communication"	"BP"
"GO:0023056"	9.05377124707527e-08	1	203	1161	"positive regulation of signaling"	"BP"
"GO:0001503"	9.53637351726078e-08	1	66	277	"ossification"	"BP"
"00010"	9.69508672541897e-08	0.999999982142493	22	52	"Glycolysis / Gluconeogenesis"	"KEGG"
"GO:0050817"	1.0872037750288e-07	0.999999962594957	44	155	"coagulation"	"BP"
"GO:0032101"	1.08723018098845e-07	1	101	493	"regulation of response to external stimulus"	"BP"
"GO:0051241"	1.20073098327761e-07	1	152	819	"negative regulation of multicellular organismal process"	"BP"
"GO:0030154"	1.36933689198631e-07	1	416	2684	"cell differentiation"	"BP"
"GO:0009967"	1.38867834255035e-07	1	186	1051	"positive regulation of signal transduction"	"BP"
"GO:0023052"	1.54767582104577e-07	1	531	3540	"signaling"	"BP"
"GO:0050900"	1.73552099368209e-07	1	54	218	"leukocyte migration"	"BP"
"GO:0019220"	1.9424413601718e-07	1	214	1247	"regulation of phosphate metabolic process"	"BP"
"04510"	2.01221615688221e-07	0.999999926003229	47	172	"Focal adhesion"	"KEGG"
"GO:0044700"	2.07189904964731e-07	1	529	3533	"single organism signaling"	"BP"
"GO:0006954"	2.19051942220565e-07	1	92	446	"inflammatory response"	"BP"
"GO:0061041"	2.24227236355872e-07	0.99999993196443	35	113	"regulation of wound healing"	"BP"
"GO:0006793"	2.25619141725416e-07	1	360	2297	"phosphorus metabolic process"	"BP"
"GO:0044712"	2.50759766831356e-07	1	124	648	"single-organism catabolic process"	"BP"
"GO:0051174"	2.62208943958607e-07	1	214	1252	"regulation of phosphorus metabolic process"	"BP"
"GO:0044259"	2.68980436532986e-07	0.999999940922357	24	63	"multicellular organismal macromolecule metabolic process"	"BP"
"GO:0070330"	2.95359468404726e-07	0.999999965464613	15	28	"aromatase activity"	"MF"
"GO:0006869"	3.28014280155247e-07	1	55	225	"lipid transport"	"BP"
"04610"	3.37941715939946e-07	0.999999918148292	26	73	"Complement and coagulation cascades"	"KEGG"
"GO:0051346"	3.45141869649471e-07	1	61	261	"negative regulation of hydrolase activity"	"BP"
"GO:0006732"	3.56957752124971e-07	1	62	266	"coenzyme metabolic process"	"BP"
"GO:0098602"	3.65357088295226e-07	1	101	502	"single organism cell adhesion"	"BP"
"GO:0042325"	3.66414847103478e-07	1	190	1091	"regulation of phosphorylation"	"BP"
"GO:0048407"	3.75056485342578e-07	0.999999989276098	9	11	"platelet-derived growth factor binding"	"MF"
"GO:0048729"	3.97231823425531e-07	1	94	453	"tissue morphogenesis"	"BP"
"GO:0008283"	4.22674995537731e-07	1	238	1433	"cell proliferation"	"BP"
"GO:0044236"	4.48876870990528e-07	0.999999885424589	27	78	"multicellular organism metabolic process"	"BP"
"GO:0010817"	4.55385125703021e-07	1	71	319	"regulation of hormone levels"	"BP"
"GO:0001932"	4.62004093904709e-07	1	176	998	"regulation of protein phosphorylation"	"BP"
"GO:0071363"	4.8521292786029e-07	1	86	407	"cellular response to growth factor stimulus"	"BP"
"GO:0050920"	5.12734960516368e-07	0.999999827603842	38	133	"regulation of chemotaxis"	"BP"
"GO:0030595"	5.9753501696134e-07	0.999999793410511	39	142	"leukocyte chemotaxis"	"BP"
"GO:0006066"	6.18316074407947e-07	0.999999818919223	51	204	"alcohol metabolic process"	"BP"
"GO:0048869"	6.41756436251197e-07	0.999999725539019	433	2835	"cellular developmental process"	"BP"
"GO:0044282"	7.06156636178477e-07	0.999999788116509	54	220	"small molecule catabolic process"	"BP"
"00140"	7.19366908734411e-07	0.999999868411536	19	45	"Steroid hormone biosynthesis"	"KEGG"
"GO:0005178"	7.86354430228258e-07	0.999999792270466	27	79	"integrin binding"	"MF"
"GO:0032963"	8.21599515860266e-07	0.999999812209902	23	62	"collagen metabolic process"	"BP"
"GO:0007165"	9.89368673200352e-07	0.999999434824901	492	3275	"signal transduction"	"BP"
"GO:0042802"	9.95074101542039e-07	0.999999600197415	206	1218	"identical protein binding"	"MF"
"GO:0098609"	1.02905286923541e-06	0.999999629025823	103	520	"cell-cell adhesion"	"BP"
"GO:0065008"	1.09249510006546e-06	0.999999386552532	378	2444	"regulation of biological quality"	"BP"
"GO:0045766"	1.13703553966314e-06	0.999999638553819	33	111	"positive regulation of angiogenesis"	"BP"
"GO:0042127"	1.19009509879764e-06	0.999999522560196	200	1177	"regulation of cell proliferation"	"BP"
"GO:0070848"	1.19938092698279e-06	0.99999958204325	87	418	"response to growth factor"	"BP"
"GO:0005506"	1.23634732718966e-06	0.999999580523087	36	127	"iron ion binding"	"MF"
"04060"	1.35126892898922e-06	0.999999499931025	41	154	"Cytokine-cytokine receptor interaction"	"KEGG"
"GO:0060429"	1.3534407068587e-06	0.999999482364593	140	759	"epithelium development"	"BP"
"GO:1901606"	1.43164248796007e-06	0.999999673744222	22	59	"alpha-amino acid catabolic process"	"BP"
"GO:0008284"	1.45024217449383e-06	0.999999457809733	121	645	"positive regulation of cell proliferation"	"BP"
"GO:0072330"	1.45142738633435e-06	0.999999469452218	40	148	"monocarboxylic acid biosynthetic process"	"BP"
"GO:0009966"	1.45496652367105e-06	0.999999195099333	308	1932	"regulation of signal transduction"	"BP"
"GO:0043177"	1.64515362033703e-06	0.999999394259801	40	150	"organic acid binding"	"MF"
"GO:0019842"	1.94046891054763e-06	0.999999392277805	31	103	"vitamin binding"	"MF"
"00983"	2.02716387231396e-06	0.999999546120286	21	56	"Drug metabolism - other enzymes"	"KEGG"
"GO:1901700"	2.18994900202553e-06	0.99999886746064	168	962	"response to oxygen-containing compound"	"BP"
"GO:0043167"	2.25107826041309e-06	0.999998451097315	616	4230	"ion binding"	"MF"
"GO:0010631"	2.25329382401494e-06	0.999999069371433	48	193	"epithelial cell migration"	"BP"
"GO:0090132"	2.64302147808223e-06	0.999998900827981	48	194	"epithelium migration"	"BP"
"GO:0052689"	2.81294493789783e-06	0.99999907846871	32	110	"carboxylic ester hydrolase activity"	"MF"
"GO:0048037"	2.91034573871774e-06	0.999998828366166	57	247	"cofactor binding"	"MF"
"GO:0090130"	3.04126787208606e-06	0.999998727358961	48	195	"tissue migration"	"BP"
"GO:0035634"	3.10901766202042e-06	0.999999701004747	11	20	"response to stilbenoid"	"BP"
"GO:0031406"	3.36311713128688e-06	0.999998736675704	39	148	"carboxylic acid binding"	"MF"
"GO:0030193"	3.41296019714522e-06	0.999999063726658	25	76	"regulation of blood coagulation"	"BP"
"GO:1900046"	3.41296019714522e-06	0.999999063726658	25	76	"regulation of hemostasis"	"BP"
"GO:0010632"	3.42608403246048e-06	0.99999871299448	39	147	"regulation of epithelial cell migration"	"BP"
"GO:0097367"	3.44263651636481e-06	0.999997759113382	286	1776	"carbohydrate derivative binding"	"MF"
"GO:0015718"	3.45201753421348e-06	0.999998989939992	27	86	"monocarboxylic acid transport"	"BP"
"GO:0016769"	3.47257260048313e-06	0.999999618160542	12	22	"transferase activity, transferring nitrogenous groups"	"MF"
"GO:0046942"	3.57871195452225e-06	0.999998541588301	45	179	"carboxylic acid transport"	"BP"
"GO:0018149"	3.78323224348267e-06	0.999999710183967	10	16	"peptide cross-linking"	"BP"
"GO:0015909"	3.79961073866546e-06	0.999999386545398	15	34	"long-chain fatty acid transport"	"BP"
"GO:0045861"	3.87682778358897e-06	0.999998486433323	51	218	"negative regulation of proteolysis"	"BP"
"GO:0048518"	3.89019244166949e-06	0.999997159547181	587	4036	"positive regulation of biological process"	"BP"
"GO:0015849"	4.03506918190829e-06	0.99999834625603	45	180	"organic acid transport"	"BP"
"GO:1902652"	4.26785421955509e-06	0.999998629487781	30	102	"secondary alcohol metabolic process"	"BP"
"GO:0004930"	4.27136839119208e-06	0.999998288310713	43	168	"G-protein coupled receptor activity"	"MF"
"GO:0051716"	4.4101757173022e-06	0.999996768052246	617	4262	"cellular response to stimulus"	"BP"
"GO:0009887"	4.48285016556335e-06	0.999997550426586	123	657	"animal organ morphogenesis"	"BP"
"GO:0006952"	4.76448644016575e-06	0.999997272310628	157	905	"defense response"	"BP"
"GO:0031214"	4.7870531028951e-06	0.999998611284789	26	82	"biomineral tissue development"	"BP"
"GO:0002685"	4.96186030813981e-06	0.99999821600842	35	130	"regulation of leukocyte migration"	"BP"
"GO:0019199"	5.04439210594258e-06	0.999998785496092	21	58	"transmembrane receptor protein kinase activity"	"MF"
"GO:0051186"	5.06185026028159e-06	0.999997607340257	69	327	"cofactor metabolic process"	"BP"
"GO:0051336"	5.16652123140365e-06	0.999997140281642	129	713	"regulation of hydrolase activity"	"BP"
"GO:0046460"	5.27456228173102e-06	0.999999123169608	15	34	"neutral lipid biosynthetic process"	"BP"
"GO:0046463"	5.27456228173102e-06	0.999999123169608	15	34	"acylglycerol biosynthetic process"	"BP"
"GO:0001649"	5.62300325394106e-06	0.99999777316453	41	160	"osteoblast differentiation"	"BP"
"GO:0010810"	5.84015892564451e-06	0.999997747486194	39	149	"regulation of cell-substrate adhesion"	"BP"
"GO:0010811"	6.53486738957204e-06	0.999997951379714	28	93	"positive regulation of cell-substrate adhesion"	"BP"
"GO:0008203"	6.68431803901953e-06	0.999997844480767	29	99	"cholesterol metabolic process"	"BP"
"GO:0030246"	6.77605120008581e-06	0.999997092155817	47	195	"carbohydrate binding"	"MF"
"GO:0002687"	6.7968079500414e-06	0.9999978533615	28	96	"positive regulation of leukocyte migration"	"BP"
"00620"	6.98758608118779e-06	0.999998694442859	16	39	"Pyruvate metabolism"	"KEGG"
"00500"	7.35503805264469e-06	0.999998531307925	17	42	"Starch and sucrose metabolism"	"KEGG"
"GO:1904018"	7.43608366371903e-06	0.999997319038847	34	125	"positive regulation of vasculature development"	"BP"
"GO:0061045"	7.43767494917341e-06	0.999998317587859	19	51	"negative regulation of wound healing"	"BP"
"GO:0050818"	7.50226164590098e-06	0.999997821998845	25	79	"regulation of coagulation"	"BP"
"GO:0006790"	7.54535933636839e-06	0.999996590963109	54	239	"sulfur compound metabolic process"	"BP"
"GO:0045785"	7.95096052916079e-06	0.999996140857992	65	302	"positive regulation of cell adhesion"	"BP"
"GO:0050839"	7.99358171483247e-06	0.999996003042206	80	392	"cell adhesion molecule binding"	"MF"
"GO:0008483"	8.2797278244688e-06	0.999999110598095	11	20	"transaminase activity"	"MF"
"GO:0048732"	8.2822648278701e-06	0.999996087392938	66	306	"gland development"	"BP"
"GO:0050921"	8.43829143119508e-06	0.999997301117865	28	96	"positive regulation of chemotaxis"	"BP"
"GO:0005319"	8.52063065312332e-06	0.999997422956367	26	85	"lipid transporter activity"	"MF"
"GO:0048771"	8.85895073786042e-06	0.999996666069245	36	135	"tissue remodeling"	"BP"
"GO:1903034"	8.99566715379181e-06	0.99999660893552	36	136	"regulation of response to wounding"	"BP"
"GO:0097006"	9.03190032475834e-06	0.999997905538405	19	53	"regulation of plasma lipoprotein particle levels"	"BP"
"GO:0048583"	9.06191175660282e-06	0.999993374969857	381	2503	"regulation of response to stimulus"	"BP"
"04974"	9.24707220950138e-06	0.999997985364733	18	47	"Protein digestion and absorption"	"KEGG"
"GO:1902533"	9.36012751101117e-06	0.999994405652288	126	697	"positive regulation of intracellular signal transduction"	"BP"
"GO:1901565"	9.90533784350712e-06	0.999995674474465	47	198	"organonitrogen compound catabolic process"	"BP"
"GO:0006796"	1.02073746080913e-05	0.99999267015255	344	2242	"phosphate-containing compound metabolic process"	"BP"
"GO:0097529"	1.08920278602672e-05	0.999996045685701	33	125	"myeloid leukocyte migration"	"BP"
"GO:0044765"	1.11220038436267e-05	0.999992162085698	287	1833	"single-organism transport"	"BP"
"03010"	1.11855495160577e-05	0.999996856009283	22	85	"Ribosome"	"KEGG"
"GO:0044723"	1.15335968991506e-05	0.99999406376325	75	365	"single-organism carbohydrate metabolic process"	"BP"
"GO:0052547"	1.1548279586932e-05	0.999994544522301	58	268	"regulation of peptidase activity"	"BP"
"05146"	1.29239406683045e-05	0.999995989047598	26	85	"Amoebiasis"	"KEGG"
"03320"	1.34447795015357e-05	0.999996314036777	22	68	"PPAR signaling pathway"	"KEGG"
"GO:0050790"	1.44059674441936e-05	0.999990160826359	220	1354	"regulation of catalytic activity"	"BP"
"GO:0007186"	1.44600001877321e-05	0.999992403930429	74	364	"G-protein coupled receptor signaling pathway"	"BP"
"GO:0016125"	1.46271605240939e-05	0.999994925397979	30	108	"sterol metabolic process"	"BP"
"GO:0019433"	1.49773514891429e-05	0.999998169239222	11	22	"triglyceride catabolic process"	"BP"
"GO:0005975"	1.51232018319081e-05	0.999991708880936	85	430	"carbohydrate metabolic process"	"BP"
"GO:0010634"	1.58259831223941e-05	0.999994869353134	27	92	"positive regulation of epithelial cell migration"	"BP"
"GO:0072593"	1.68155298025558e-05	0.999992524310152	48	211	"reactive oxygen species metabolic process"	"BP"
"GO:0038063"	1.69086344874101e-05	0.999999387770377	7	9	"collagen-activated tyrosine kinase receptor signaling pathway"	"BP"
"GO:0038065"	1.69086344874101e-05	0.999999387770377	7	9	"collagen-activated signaling pathway"	"BP"
"GO:0016337"	1.70486813544011e-05	0.999990555827005	87	447	"single organismal cell-cell adhesion"	"BP"
"GO:0042803"	1.70883304913445e-05	0.999989773126493	119	660	"protein homodimerization activity"	"MF"
"00910"	1.73343809288982e-05	0.999998219831857	10	18	"Nitrogen metabolism"	"KEGG"
"GO:0046461"	1.78201469742695e-05	0.999997118887425	13	30	"neutral lipid catabolic process"	"BP"
"GO:0046464"	1.78201469742695e-05	0.999997118887425	13	30	"acylglycerol catabolic process"	"BP"
"GO:0016614"	1.86062095738919e-05	0.99999317436355	32	120	"oxidoreductase activity, acting on CH-OH group of donors"	"MF"
"GO:0032103"	1.88824748030413e-05	0.999991750966967	44	189	"positive regulation of response to external stimulus"	"BP"
"GO:0097756"	1.97694465736295e-05	0.999994650433315	21	63	"negative regulation of blood vessel diameter"	"BP"
"GO:0015908"	2.02363884858636e-05	0.999994961064121	19	55	"fatty acid transport"	"BP"
"GO:0009063"	2.04548429382826e-05	0.999994224624762	22	68	"cellular amino acid catabolic process"	"BP"
"GO:0016616"	2.05411696019432e-05	0.999992870567371	29	105	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	"MF"
"GO:0048029"	2.06295367641804e-05	0.999994155184386	22	69	"monosaccharide binding"	"MF"
"00330"	2.33388319167149e-05	0.999994726846621	17	46	"Arginine and proline metabolism"	"KEGG"
